Trend_ID,Trend_Name,Platform,Category,Engagement_Rate,Likes,Shares,Comments,Views,Date_Posted,Hashtags,Description,Influencer_Count,Age_Group,Gender_Distribution,Location
1,Y2K Fashion Revival Low-Rise Jeans,TikTok,Fashion,94.5,2840000,450000,180000,8900000,2024-01-15,"#y2k,#fashion,#lowrise,#2000s,#aesthetic",Early 2000s fashion comeback featuring low-rise jeans and crop tops,1250,Gen Z,65% Female 35% Male,Global
2,Cottagecore Flowy Maxi Dresses,Instagram,Fashion,89.2,1650000,280000,95000,4200000,2024-01-18,"#cottagecore,#fashion,#aesthetic,#dress,#vintage",Romantic pastoral fashion with flowing dresses and floral patterns,890,Gen Z,80% Female 20% Male,US/UK
3,Dark Academia Plaid Blazers,Pinterest,Fashion,87.8,890000,120000,45000,2100000,2024-01-12,"#darkacademia,#fashion,#plaid,#blazer,#aesthetic",Scholarly gothic fashion with plaid blazers and vintage accessories,340,Gen Z,70% Female 30% Male,Europe/US
4,Sustainable Thrift Fashion Hauls,YouTube,Fashion,85.4,1200000,200000,85000,3500000,2024-01-20,"#thrift,#sustainable,#fashion,#haul,#secondhand",Eco-friendly fashion through thrifted and vintage clothing finds,720,Millennials,75% Female 25% Male,Global
5,Grunge Oversized Band Tees,TikTok,Fashion,83.7,1850000,320000,140000,6700000,2024-01-22,"#grunge,#fashion,#bandtee,#90s,#aesthetic",90s grunge revival with oversized band t-shirts and distressed denim,980,Gen Z,60% Female 40% Male,US/Canada
6,Minimalist Capsule Wardrobe,Instagram,Fashion,82.1,1100000,180000,60000,2800000,2024-01-25,"#minimalist,#fashion,#capsule,#wardrobe,#simple",Minimalist fashion focusing on versatile neutral pieces,560,Millennials,70% Female 30% Male,Global
7,Streetwear Cargo Pants Trend,TikTok,Fashion,81.6,2200000,380000,160000,7800000,2024-01-28,"#streetwear,#fashion,#cargo,#pants,#urban",Urban streetwear featuring cargo pants and oversized hoodies,1100,Gen Z,55% Female 45% Male,US/UK
8,Preppy Tennis Skirts Outfit,Instagram,Fashion,80.9,1350000,220000,75000,3100000,2024-02-01,"#preppy,#fashion,#tennis,#skirt,#outfit",Preppy aesthetic with tennis skirts and polo shirts,680,Gen Z,85% Female 15% Male,US
9,Boho Crochet Tops Summer,Pinterest,Fashion,79.5,750000,95000,35000,1900000,2024-02-03,"#boho,#fashion,#crochet,#summer,#handmade",Bohemian style featuring handmade crochet tops and flowing fabrics,420,Millennials,90% Female 10% Male,Global
10,Gothic Lolita Dresses,TikTok,Fashion,78.3,980000,150000,85000,3600000,2024-02-05,"#gothic,#lolita,#fashion,#dress,#alternative",Japanese-inspired gothic lolita fashion with elaborate dresses,290,Gen Z,95% Female 5% Male,Japan/Global
11,Vintage Leather Jackets,Instagram,Fashion,77.8,1150000,190000,55000,2600000,2024-02-08,"#vintage,#leather,#jacket,#fashion,#classic",Timeless leather jacket styling for modern wardrobes,510,Millennials,60% Female 40% Male,Global
12,Kawaii Pink Aesthetic Outfits,TikTok,Fashion,76.4,1650000,280000,120000,5800000,2024-02-10,"#kawaii,#pink,#aesthetic,#fashion,#cute",Japanese kawaii culture influencing pink and cute fashion trends,850,Gen Z,85% Female 15% Male,Asia/Global
13,Formal Blazer Dress Styling,LinkedIn,Fashion,75.2,420000,68000,25000,1100000,2024-02-12,"#formal,#blazer,#dress,#professional,#workwear",Professional blazer dress combinations for workplace fashion,180,Millennials,75% Female 25% Male,Global
14,Retro 70s Bell Bottom Jeans,Instagram,Fashion,74.6,890000,140000,48000,2200000,2024-02-15,"#retro,#70s,#bellbottom,#fashion,#vintage",70s fashion revival with bell-bottom jeans and bohemian tops,380,Gen Z,70% Female 30% Male,US/Europe
15,Punk Rock Studded Accessories,TikTok,Fashion,73.9,1200000,200000,95000,4200000,2024-02-18,"#punk,#rock,#studded,#accessories,#alternative",Punk rock fashion with studded belts and edgy accessories,640,Gen Z,65% Female 35% Male,Global
16,Skincare Glass Skin Routine,Instagram,Beauty,92.3,2100000,350000,180000,5800000,2024-01-10,"#skincare,#glassskin,#beauty,#routine,#korean",Korean-inspired skincare routine for achieving glass-like skin,1400,Gen Z,75% Female 25% Male,Global
17,Makeup No-Makeup Look,TikTok,Beauty,88.7,1800000,290000,140000,6200000,2024-01-14,"#makeup,#nomakeup,#natural,#beauty,#minimal",Natural makeup look that enhances features subtly,1050,Millennials,85% Female 15% Male,Global
18,Hair Curtain Bangs Tutorial,YouTube,Beauty,86.1,1400000,230000,95000,4100000,2024-01-17,"#hair,#curtainbangs,#tutorial,#hairstyle,#trend",Step-by-step tutorial for cutting and styling curtain bangs,780,Gen Z,80% Female 20% Male,Global
19,Nail Art Minimalist Designs,Instagram,Beauty,84.5,950000,155000,65000,2400000,2024-01-21,"#nails,#nailart,#minimalist,#design,#manicure",Simple and elegant nail art designs for everyday wear,520,Millennials,90% Female 10% Male,Global
20,Eyebrow Soap Brow Technique,TikTok,Beauty,82.8,1300000,210000,88000,4500000,2024-01-24,"#eyebrows,#soapbrows,#beauty,#technique,#trend",Using soap to create feathery natural-looking eyebrows,690,Gen Z,85% Female 15% Male,Global
21,Fitness Home Workout Routines,YouTube,Fitness,91.2,1950000,420000,250000,8200000,2024-01-11,"#fitness,#homeworkout,#health,#exercise,#routine",Effective home workout routines requiring no equipment,1600,Millennials,60% Female 40% Male,Global
22,Healthy Smoothie Bowl Recipes,Instagram,Food,89.6,1250000,180000,95000,3200000,2024-01-16,"#healthy,#smoothie,#bowl,#recipe,#nutrition",Nutritious and Instagram-worthy smoothie bowl creations,840,Millennials,70% Female 30% Male,Global
23,Plant-Based Meal Prep Ideas,TikTok,Food,87.3,1680000,280000,160000,5600000,2024-01-19,"#plantbased,#mealprep,#vegan,#healthy,#food",Weekly plant-based meal preparation for healthy eating,920,Millennials,65% Female 35% Male,Global
24,Sourdough Bread Making,YouTube,Food,85.7,890000,145000,78000,2800000,2024-01-23,"#sourdough,#bread,#baking,#homemade,#recipe",Traditional sourdough bread making techniques and recipes,450,Millennials,55% Female 45% Male,Global
25,Aesthetic Coffee Latte Art,Instagram,Food,84.2,1100000,165000,55000,2600000,2024-01-26,"#coffee,#latte,#art,#aesthetic,#cafe",Beautiful latte art designs for coffee enthusiasts,610,Millennials,50% Female 50% Male,Global
26,Gaming Setup Room Tours,YouTube,Gaming,88.4,1850000,320000,180000,6800000,2024-01-13,"#gaming,#setup,#room,#tour,#tech",Showcasing impressive gaming room setups and equipment,1200,Gen Z,70% Male 30% Female,Global
27,AI Art Creation Process,TikTok,Technology,86.9,1450000,240000,120000,4900000,2024-01-27,"#ai,#art,#creation,#technology,#digital",Creating digital art using AI tools and techniques,780,Millennials,60% Male 40% Female,Global
28,Cryptocurrency Trading Tips,Twitter,Finance,85.1,680000,120000,85000,1800000,2024-01-30,"#crypto,#trading,#bitcoin,#finance,#investment",Educational content about cryptocurrency trading strategies,340,Millennials,75% Male 25% Female,Global
29,Remote Work Productivity Hacks,LinkedIn,Productivity,83.6,520000,95000,45000,1400000,2024-02-02,"#remote,#work,#productivity,#tips,#lifestyle",Tips and tools for maximizing productivity while working remotely,280,Millennials,55% Female 45% Male,Global
30,Sustainable Living Zero Waste,Instagram,Lifestyle,82.4,980000,158000,72000,2500000,2024-02-04,"#sustainable,#zerowaste,#eco,#lifestyle,#green",Practical tips for adopting a zero-waste sustainable lifestyle,540,Millennials,70% Female 30% Male,Global
31,Travel Budget Backpacking Tips,YouTube,Travel,90.1,1650000,380000,220000,7200000,2024-02-06,"#travel,#budget,#backpacking,#tips,#adventure",Budget-friendly backpacking tips for young travelers,1100,Gen Z,55% Female 45% Male,Global
32,Pet Training Positive Methods,TikTok,Pets,87.5,1400000,250000,180000,5100000,2024-02-09,"#pet,#training,#dog,#positive,#methods",Positive reinforcement techniques for training pets,890,Millennials,60% Female 40% Male,Global
33,DIY Home Decor Projects,Pinterest,DIY,86.2,1100000,220000,95000,3400000,2024-02-11,"#diy,#home,#decor,#projects,#crafts",Creative and budget-friendly DIY home decoration projects,670,Millennials,75% Female 25% Male,Global
34,Meditation Mindfulness Practice,Instagram,Wellness,84.8,850000,140000,68000,2100000,2024-02-13,"#meditation,#mindfulness,#wellness,#mental,#health",Guided meditation and mindfulness practices for stress relief,480,Millennials,65% Female 35% Male,Global
35,Language Learning Techniques,TikTok,Education,83.3,1200000,200000,150000,4600000,2024-02-16,"#language,#learning,#education,#polyglot,#tips",Effective techniques for learning new languages quickly,720,Gen Z,55% Female 45% Male,Global
36,Vintage Thrift Store Finds,Instagram,Fashion,78.9,1050000,175000,65000,2800000,2024-02-19,"#vintage,#thrift,#finds,#fashion,#sustainable",Showcasing unique vintage finds from thrift stores,450,Gen Z,75% Female 25% Male,Global
37,Upcycled Denim Jacket DIY,TikTok,Fashion,77.4,1300000,220000,110000,4800000,2024-02-21,"#upcycled,#denim,#jacket,#diy,#sustainable",Creative ways to upcycle and customize denim jackets,680,Gen Z,70% Female 30% Male,Global
38,Slow Fashion Brand Reviews,YouTube,Fashion,76.1,720000,115000,55000,2000000,2024-02-24,"#slow,#fashion,#sustainable,#brands,#ethical",Reviews of ethical and sustainable slow fashion brands,320,Millennials,80% Female 20% Male,Global
